ticket_id,customer_id,date_opened,issue_type,resolution_time_days,status
TCKT000085,CUST00152,2023-11-17,Login Issue,14,Unresolved
TCKT000086,CUST00975,2024-05-28,Delayed Credit,5,Unresolved
TCKT000087,CUST00143,2023-12-13,Incorrect Charge,14,Unresolved
TCKT000088,CUST00213,2024-04-08,Incorrect Charge,13,Resolved
TCKT000089,CUST00884,2023-09-25,Incorrect Charge,14,Pending
TCKT000090,CUST00834,2023-12-24,Failed Transaction,15,Pending
TCKT000091,CUST00002,2023-11-02,Account Locked,2,Unresolved
TCKT000092,CUST00283,2025-01-18,Login Issue,15,Unresolved
TCKT000093,CUST00617,2025-03-13,Delayed Credit,13,Pending
TCKT000094,CUST00502,2023-07-25,Failed Transaction,9,Pending
TCKT000095,CUST00496,2024-12-10,Incorrect Charge,9,Unresolved
TCKT000096,CUST00183,2023-12-21,Failed Transaction,3,Unresolved
TCKT000097,CUST00463,2025-05-06,Delayed Credit,13,Unresolved
TCKT000098,CUST00051,2024-02-06,Card Not Working,12,Unresolved
TCKT000099,CUST00622,2025-05-06,Incorrect Charge,4,Pending
TCKT000100,CUST00227,2024-08-03,Incorrect Charge,5,Resolved
TCKT000101,CUST00745,2025-01-10,Account Locked,1,Pending
TCKT000102,CUST00627,2025-02-11,Failed Transaction,1,Pending
TCKT000103,CUST00494,2025-03-18,Card Not Working,14,Pending
TCKT000104,CUST00041,2025-01-15,Delayed Credit,1,Pending
TCKT000105,CUST00017,2023-10-03,Delayed Credit,1,Unresolved
TCKT000106,CUST00452,2025-06-16,Login Issue,13,Resolved
TCKT000107,CUST00595,2025-05-26,Card Not Working,14,Unresolved
TCKT000108,CUST00938,2024-02-03,Login Issue,2,Resolved
TCKT000109,CUST00085,2024-05-03,Account Locked,9,Resolved
TCKT000110,CUST00917,2023-07-12,Login Issue,13,Unresolved
TCKT000111,CUST00218,2024-10-13,Login Issue,12,Unresolved
TCKT000112,CUST00653,2024-12-30,Incorrect Charge,6,Resolved
TCKT000113,CUST00659,2024-10-11,Delayed Credit,1,Unresolved
TCKT000114,CUST00858,2023-07-20,Login Issue,15,Resolved
TCKT000115,CUST00274,2023-10-09,Account Locked,12,Pending
TCKT000116,CUST00026,2024-01-26,Account Locked,15,Pending
TCKT000117,CUST00449,2024-10-26,Delayed Credit,1,Unresolved
TCKT000118,CUST00040,2024-12-15,Failed Transaction,10,Resolved
TCKT000119,CUST00061,2023-09-26,Card Not Working,12,Unresolved
TCKT000120,CUST00480,2025-06-10,Card Not Working,1,Pending
TCKT000121,CUST00831,2024-12-06,Login Issue,9,Pending
TCKT000122,CUST00183,2024-07-13,Account Locked,1,Unresolved
TCKT000123,CUST00394,2023-08-25,Incorrect Charge,11,Unresolved
TCKT000124,CUST00029,2024-01-07,Failed Transaction,13,Unresolved
TCKT000125,CUST00008,2024-08-16,Login Issue,8,Pending
TCKT000126,CUST00589,2025-06-16,Incorrect Charge,9,Unresolved
TCKT000127,CUST00156,2024-05-23,Login Issue,4,Resolved
TCKT000128,CUST00413,2024-10-01,Incorrect Charge,11,Unresolved
TCKT000129,CUST00731,2025-05-30,Card Not Working,3,Resolved
TCKT000130,CUST00474,2023-09-26,Incorrect Charge,4,Unresolved
TCKT000131,CUST00942,2024-06-06,Login Issue,14,Pending
TCKT000132,CUST00211,2024-08-20,Incorrect Charge,11,Resolved
TCKT000133,CUST00331,2025-06-17,Account Locked,6,Resolved
TCKT000134,CUST00163,2024-11-01,Incorrect Charge,9,Unresolved
TCKT000135,CUST00862,2023-12-26,Incorrect Charge,1,Resolved
TCKT000136,CUST00199,2025-06-09,Login Issue,10,Pending
TCKT000137,CUST00672,2024-10-30,Failed Transaction,8,Resolved
TCKT000138,CUST00963,2025-05-27,Login Issue,3,Pending
TCKT000139,CUST00710,2024-07-19,Card Not Working,4,Resolved
TCKT000140,CUST00868,2024-03-25,Delayed Credit,1,Resolved
TCKT000141,CUST00565,2024-12-10,Failed Transaction,2,Resolved
TCKT000142,CUST00454,2025-02-03,Account Locked,5,Unresolved
TCKT000143,CUST00427,2024-01-19,Failed Transaction,1,Resolved
TCKT000144,CUST00223,2023-07-21,Delayed Credit,2,Resolved
TCKT000145,CUST00703,2024-10-01,Card Not Working,5,Unresolved
TCKT000146,CUST00213,2025-01-04,Incorrect Charge,13,Resolved
TCKT000147,CUST00675,2025-05-06,Failed Transaction,14,Unresolved
TCKT000148,CUST00670,2024-08-01,Delayed Credit,2,Resolved
TCKT000149,CUST00719,2023-10-26,Failed Transaction,11,Unresolved
TCKT000150,CUST00559,2024-06-06,Account Locked,10,Pending
TCKT000151,CUST00558,2025-04-14,Incorrect Charge,15,Unresolved
TCKT000152,CUST00303,2023-09-24,Failed Transaction,7,Pending
TCKT000153,CUST00760,2025-04-24,Login Issue,3,Unresolved
TCKT000154,CUST00504,2024-09-02,Account Locked,10,Unresolved
TCKT000155,CUST00532,2023-08-17,Incorrect Charge,13,Unresolved
TCKT000156,CUST00054,2024-07-09,Account Locked,10,Pending
TCKT000157,CUST00889,2024-02-15,Incorrect Charge,13,Pending
TCKT000158,CUST00675,2023-11-06,Delayed Credit,14,Pending
TCKT000159,CUST00663,2024-11-17,Failed Transaction,15,Pending
TCKT000160,CUST00085,2023-08-19,Failed Transaction,13,Pending
TCKT000161,CUST00284,2024-07-02,Account Locked,11,Pending
TCKT000162,CUST00701,2023-11-14,Incorrect Charge,3,Unresolved
TCKT000163,CUST00472,2023-10-14,Login Issue,14,Pending
TCKT000164,CUST00854,2024-06-26,Incorrect Charge,2,Resolved
TCKT000165,CUST00540,2025-02-07,Failed Transaction,14,Resolved
TCKT000166,CUST00317,2023-12-01,Failed Transaction,14,Unresolved
TCKT000167,CUST00961,2023-12-24,Card Not Working,6,Pending
TCKT000168,CUST00493,2024-05-13,Failed Transaction,2,Resolved
TCKT000169,CUST00811,2024-11-21,Card Not Working,12,Unresolved
TCKT000170,CUST00339,2024-10-20,Incorrect Charge,8,Unresolved
TCKT000171,CUST00385,2025-04-02,Failed Transaction,5,Unresolved
TCKT000172,CUST00662,2025-03-01,Login Issue,12,Unresolved
TCKT000173,CUST00640,2024-09-20,Account Locked,1,Resolved
TCKT000174,CUST00174,2024-01-05,Delayed Credit,13,Resolved
TCKT000175,CUST00620,2024-02-19,Incorrect Charge,7,Resolved
TCKT000176,CUST00091,2023-12-13,Failed Transaction,14,Resolved
TCKT000177,CUST00428,2024-02-20,Login Issue,10,Unresolved
TCKT000178,CUST00613,2023-08-07,Incorrect Charge,13,Unresolved
TCKT000179,CUST00889,2024-06-13,Failed Transaction,4,Pending
TCKT000180,CUST00675,2023-10-08,Login Issue,11,Unresolved
TCKT000181,CUST00333,2024-07-02,Login Issue,13,Unresolved
TCKT000182,CUST00690,2024-12-10,Failed Transaction,6,Unresolved
TCKT000183,CUST00869,2024-10-01,Incorrect Charge,5,Pending
TCKT000184,CUST00416,2024-03-10,Card Not Working,13,Unresolved
TCKT000185,CUST00040,2023-10-31,Account Locked,13,Resolved
TCKT000186,CUST00318,2024-09-03,Incorrect Charge,4,Pending
TCKT000187,CUST00386,2025-06-03,Card Not Working,10,Pending
TCKT000188,CUST00758,2023-12-29,Failed Transaction,8,Unresolved
TCKT000189,CUST00229,2025-05-06,Failed Transaction,12,Unresolved
TCKT000190,CUST00904,2024-05-01,Delayed Credit,9,Unresolved
TCKT000191,CUST00253,2023-09-17,Incorrect Charge,2,Unresolved
TCKT000192,CUST00010,2025-06-19,Login Issue,13,Resolved
TCKT000193,CUST00548,2025-07-05,Incorrect Charge,10,Pending
TCKT000194,CUST00223,2025-05-03,Delayed Credit,7,Pending
TCKT000195,CUST00589,2023-11-29,Card Not Working,3,Pending
TCKT000196,CUST00567,2025-03-25,Delayed Credit,14,Pending
TCKT000197,CUST00276,2024-11-14,Login Issue,7,Resolved
TCKT000198,CUST00753,2024-10-15,Account Locked,14,Pending
TCKT000199,CUST00434,2023-08-28,Delayed Credit,14,Pending
TCKT000200,CUST00714,2023-10-29,Delayed Credit,6,Resolved
TCKT000201,CUST00559,2024-07-22,Delayed Credit,1,Pending
TCKT000202,CUST00282,2024-10-11,Card Not Working,3,Pending
TCKT000203,CUST00893,2023-08-15,Account Locked,13,Unresolved
TCKT000204,CUST00698,2024-03-03,Account Locked,14,Resolved
TCKT000205,CUST00241,2025-05-04,Incorrect Charge,14,Unresolved
TCKT000206,CUST00012,2024-06-14,Failed Transaction,9,Unresolved
TCKT000207,CUST00093,2025-05-18,Delayed Credit,10,Pending
TCKT000208,CUST00185,2024-12-14,Delayed Credit,3,Resolved
TCKT000209,CUST00720,2024-03-29,Failed Transaction,11,Resolved
TCKT000210,CUST00497,2024-12-01,Login Issue,9,Resolved
TCKT000211,CUST00785,2024-09-06,Failed Transaction,2,Resolved
TCKT000212,CUST00078,2023-11-01,Delayed Credit,1,Pending
TCKT000213,CUST00290,2025-04-06,Login Issue,11,Unresolved
TCKT000214,CUST00527,2023-09-05,Incorrect Charge,4,Pending
TCKT000215,CUST00256,2023-09-12,Delayed Credit,2,Resolved
TCKT000216,CUST00111,2024-04-01,Login Issue,9,Unresolved
TCKT000217,CUST00642,2024-05-10,Incorrect Charge,8,Unresolved
TCKT000218,CUST00367,2023-12-22,Failed Transaction,4,Resolved
TCKT000219,CUST00137,2024-09-16,Delayed Credit,11,Unresolved
TCKT000220,CUST00987,2024-08-10,Delayed Credit,13,Unresolved
TCKT000221,CUST00810,2024-10-17,Failed Transaction,14,Unresolved
TCKT000222,CUST00067,2023-07-28,Account Locked,7,Resolved
TCKT000223,CUST00634,2024-03-24,Card Not Working,7,Resolved
TCKT000224,CUST00215,2024-12-26,Failed Transaction,10,Unresolved
TCKT000225,CUST00991,2024-08-25,Delayed Credit,13,Pending
TCKT000226,CUST00821,2024-05-21,Failed Transaction,10,Pending
TCKT000227,CUST00597,2024-10-11,Failed Transaction,6,Unresolved
TCKT000228,CUST00875,2024-09-17,Delayed Credit,1,Unresolved
TCKT000229,CUST00578,2024-06-27,Card Not Working,7,Resolved
TCKT000230,CUST00667,2024-10-28,Failed Transaction,9,Unresolved
TCKT000231,CUST00280,2025-04-13,Delayed Credit,14,Unresolved
TCKT000232,CUST00978,2025-01-16,Card Not Working,3,Unresolved
TCKT000233,CUST00588,2024-06-11,Card Not Working,2,Resolved
TCKT000234,CUST00864,2024-04-12,Login Issue,13,Pending
TCKT000235,CUST00189,2024-08-22,Delayed Credit,12,Pending
TCKT000236,CUST00432,2024-04-23,Login Issue,1,Pending
TCKT000237,CUST00944,2023-09-02,Incorrect Charge,11,Pending
TCKT000238,CUST00202,2024-06-03,Delayed Credit,1,Unresolved
TCKT000239,CUST00031,2025-04-01,Card Not Working,14,Pending
TCKT000240,CUST00294,2024-10-22,Delayed Credit,11,Resolved
TCKT000241,CUST00669,2025-02-16,Delayed Credit,5,Pending
TCKT000242,CUST00012,2024-03-08,Delayed Credit,7,Pending
TCKT000243,CUST00134,2025-02-08,Incorrect Charge,9,Pending
TCKT000244,CUST00603,2024-07-06,Account Locked,7,Pending
TCKT000245,CUST00364,2024-11-10,Delayed Credit,8,Pending
TCKT000246,CUST00800,2024-11-06,Account Locked,9,Pending
TCKT000247,CUST00923,2024-09-20,Incorrect Charge,5,Resolved
TCKT000248,CUST00398,2024-06-07,Account Locked,3,Pending
TCKT000249,CUST00565,2024-11-25,Failed Transaction,7,Resolved
TCKT000250,CUST00094,2024-02-07,Card Not Working,5,Pending
TCKT000251,CUST00400,2024-05-26,Account Locked,3,Unresolved
TCKT000252,CUST00354,2024-02-15,Delayed Credit,3,Unresolved
TCKT000253,CUST00170,2024-05-23,Account Locked,12,Resolved
TCKT000254,CUST00506,2024-06-14,Incorrect Charge,1,Resolved
TCKT000255,CUST00217,2024-08-05,Failed Transaction,10,Unresolved
TCKT000256,CUST00298,2024-05-11,Failed Transaction,8,Pending
TCKT000257,CUST00471,2024-09-16,Card Not Working,9,Unresolved
TCKT000258,CUST00820,2023-12-26,Incorrect Charge,2,Resolved
TCKT000259,CUST00561,2024-06-24,Card Not Working,8,Resolved
TCKT000260,CUST00432,2024-01-07,Failed Transaction,12,Pending
TCKT000261,CUST00046,2025-05-17,Account Locked,2,Unresolved
TCKT000262,CUST00958,2024-02-23,Incorrect Charge,6,Unresolved
TCKT000263,CUST00610,2023-10-09,Login Issue,15,Resolved
TCKT000264,CUST00200,2024-01-01,Delayed Credit,9,Resolved
TCKT000265,CUST00758,2024-11-25,Failed Transaction,7,Pending
TCKT000266,CUST00550,2023-09-28,Card Not Working,9,Pending
TCKT000267,CUST00987,2024-01-08,Login Issue,9,Pending
TCKT000268,CUST00802,2024-02-05,Incorrect Charge,9,Pending
TCKT000269,CUST00593,2025-05-20,Card Not Working,10,Unresolved
TCKT000270,CUST00247,2023-09-25,Failed Transaction,4,Resolved
TCKT000271,CUST00240,2023-12-06,Account Locked,5,Unresolved
TCKT000272,CUST00018,2024-06-23,Delayed Credit,10,Resolved
TCKT000273,CUST00808,2024-03-17,Account Locked,8,Unresolved
TCKT000274,CUST00883,2024-09-26,Failed Transaction,1,Unresolved
TCKT000275,CUST00996,2023-07-27,Account Locked,15,Pending
TCKT000276,CUST00192,2024-11-19,Login Issue,12,Pending
TCKT000277,CUST00396,2023-09-03,Card Not Working,10,Pending
TCKT000278,CUST00592,2024-08-18,Login Issue,13,Resolved
TCKT000279,CUST00941,2024-12-23,Account Locked,7,Unresolved
TCKT000280,CUST00923,2024-08-20,Login Issue,5,Unresolved
TCKT000281,CUST00389,2024-01-17,Failed Transaction,1,Unresolved
TCKT000282,CUST00271,2024-09-18,Login Issue,15,Pending
TCKT000283,CUST00927,2024-11-19,Account Locked,11,Pending
TCKT000284,CUST00993,2025-01-13,Card Not Working,4,Pending
TCKT000285,CUST00564,2024-09-09,Failed Transaction,10,Resolved
TCKT000286,CUST00096,2023-08-18,Account Locked,8,Resolved
TCKT000287,CUST00328,2024-10-18,Account Locked,1,Unresolved
TCKT000288,CUST00705,2024-05-31,Failed Transaction,8,Unresolved
TCKT000289,CUST00320,2023-12-01,Incorrect Charge,1,Pending
TCKT000290,CUST00836,2024-02-01,Login Issue,8,Resolved
TCKT000291,CUST00104,2025-01-06,Account Locked,7,Pending
TCKT000292,CUST00685,2024-03-18,Delayed Credit,13,Unresolved
TCKT000293,CUST00768,2024-01-23,Delayed Credit,10,Unresolved
TCKT000294,CUST00624,2024-08-04,Login Issue,9,Unresolved
TCKT000295,CUST00797,2025-03-16,Delayed Credit,5,Pending
TCKT000296,CUST00259,2025-03-11,Incorrect Charge,13,Unresolved
TCKT000297,CUST00560,2024-07-19,Incorrect Charge,4,Pending
TCKT000298,CUST00996,2023-08-15,Delayed Credit,15,Resolved
TCKT000299,CUST00694,2023-07-16,Incorrect Charge,12,Pending
TCKT000300,CUST00349,2024-01-22,Account Locked,15,Unresolved
TCKT000301,CUST00475,2025-05-17,Incorrect Charge,10,Unresolved
TCKT000302,CUST00547,2025-07-03,Account Locked,9,Pending
TCKT000303,CUST00773,2024-07-14,Delayed Credit,13,Unresolved
TCKT000304,CUST00947,2024-01-02,Card Not Working,15,Pending
TCKT000305,CUST00049,2024-09-01,Delayed Credit,9,Resolved
TCKT000306,CUST00493,2025-03-27,Account Locked,3,Unresolved
TCKT000307,CUST00090,2024-07-17,Delayed Credit,4,Resolved
TCKT000308,CUST00971,2025-03-05,Incorrect Charge,2,Unresolved
TCKT000309,CUST00400,2023-10-25,Card Not Working,14,Pending
TCKT000310,CUST00999,2024-05-21,Incorrect Charge,13,Unresolved
TCKT000311,CUST00969,2025-02-06,Failed Transaction,15,Pending
TCKT000312,CUST00717,2025-04-20,Incorrect Charge,15,Unresolved
TCKT000313,CUST00846,2023-07-07,Login Issue,2,Resolved
TCKT000314,CUST00165,2024-04-25,Card Not Working,5,Pending
TCKT000315,CUST00194,2025-06-05,Account Locked,8,Resolved
TCKT000316,CUST00112,2025-04-29,Failed Transaction,7,Resolved
TCKT000317,CUST00148,2023-09-25,Card Not Working,13,Unresolved
TCKT000318,CUST00411,2024-05-10,Account Locked,3,Resolved
TCKT000319,CUST00159,2024-10-13,Card Not Working,10,Resolved
TCKT000320,CUST00348,2023-11-09,Login Issue,8,Pending
TCKT000321,CUST00852,2023-09-15,Incorrect Charge,13,Resolved
TCKT000322,CUST00639,2024-02-03,Login Issue,12,Pending
TCKT000323,CUST00795,2025-02-14,Incorrect Charge,10,Unresolved
TCKT000324,CUST00528,2025-05-14,Failed Transaction,9,Resolved
TCKT000325,CUST00211,2023-10-27,Account Locked,10,Pending
TCKT000326,CUST00259,2025-05-19,Login Issue,11,Unresolved
TCKT000327,CUST00008,2024-09-26,Account Locked,5,Unresolved
TCKT000328,CUST00623,2024-04-04,Account Locked,10,Unresolved
TCKT000329,CUST00186,2025-05-21,Failed Transaction,1,Resolved
TCKT000330,CUST00204,2024-10-16,Failed Transaction,8,Resolved
TCKT000331,CUST00153,2024-04-14,Login Issue,5,Unresolved
TCKT000332,CUST00906,2024-05-13,Incorrect Charge,8,Pending
TCKT000333,CUST00413,2024-04-20,Delayed Credit,2,Pending
TCKT000334,CUST00854,2024-02-18,Account Locked,9,Pending
TCKT000335,CUST00781,2023-11-06,Login Issue,8,Pending
TCKT000336,CUST00979,2024-11-24,Login Issue,7,Unresolved
TCKT000337,CUST00992,2024-09-09,Delayed Credit,6,Unresolved
TCKT000338,CUST00891,2024-07-10,Failed Transaction,15,Unresolved
TCKT000339,CUST00422,2024-02-15,Incorrect Charge,1,Pending
TCKT000340,CUST00684,2025-06-08,Incorrect Charge,6,Resolved
TCKT000341,CUST00148,2024-07-09,Delayed Credit,9,Unresolved
TCKT000342,CUST00810,2023-11-06,Account Locked,12,Unresolved
TCKT000343,CUST00606,2024-01-24,Account Locked,15,Resolved
TCKT000344,CUST00840,2025-06-01,Card Not Working,7,Resolved
TCKT000345,CUST00962,2024-12-23,Card Not Working,5,Resolved
TCKT000346,CUST00436,2025-04-12,Incorrect Charge,12,Pending
TCKT000347,CUST00306,2025-01-12,Delayed Credit,2,Pending
TCKT000348,CUST00313,2024-08-25,Failed Transaction,15,Pending
TCKT000349,CUST00058,2024-11-14,Delayed Credit,6,Unresolved
TCKT000350,CUST00751,2024-08-18,Failed Transaction,13,Pending
TCKT000351,CUST00717,2024-01-14,Account Locked,3,Resolved
TCKT000352,CUST00904,2023-11-27,Delayed Credit,4,Unresolved
TCKT000353,CUST00235,2025-03-14,Account Locked,3,Pending
TCKT000354,CUST00478,2025-05-08,Login Issue,12,Unresolved
TCKT000355,CUST00591,2024-10-05,Incorrect Charge,6,Pending
TCKT000356,CUST00836,2024-08-22,Login Issue,2,Resolved
TCKT000357,CUST00011,2025-04-12,Card Not Working,15,Resolved
TCKT000358,CUST00042,2024-06-10,Login Issue,12,Unresolved
TCKT000359,CUST00089,2025-06-29,Account Locked,6,Resolved
TCKT000360,CUST00434,2025-06-06,Login Issue,1,Pending
TCKT000361,CUST00401,2024-05-27,Account Locked,7,Resolved
TCKT000362,CUST00287,2023-11-10,Login Issue,13,Pending
TCKT000363,CUST00016,2024-09-06,Incorrect Charge,1,Pending
TCKT000364,CUST00761,2024-08-23,Login Issue,4,Resolved
TCKT000365,CUST00105,2024-07-30,Delayed Credit,8,Unresolved
TCKT000366,CUST00685,2023-11-25,Delayed Credit,10,Unresolved
TCKT000367,CUST00484,2025-05-18,Login Issue,6,Pending
TCKT000368,CUST00639,2025-02-07,Login Issue,9,Resolved
TCKT000369,CUST00268,2024-06-29,Account Locked,15,Unresolved
TCKT000370,CUST00187,2025-03-28,Account Locked,11,Pending
TCKT000371,CUST00069,2024-10-06,Delayed Credit,12,Resolved
TCKT000372,CUST00071,2024-05-02,Account Locked,12,Unresolved
TCKT000373,CUST00666,2025-02-21,Card Not Working,10,Pending
TCKT000374,CUST00024,2025-01-14,Failed Transaction,6,Resolved
TCKT000375,CUST00189,2024-10-27,Failed Transaction,3,Unresolved
TCKT000376,CUST00104,2024-04-13,Account Locked,3,Unresolved
TCKT000377,CUST00562,2024-03-21,Incorrect Charge,1,Unresolved
TCKT000378,CUST00853,2025-01-15,Failed Transaction,2,Pending
TCKT000379,CUST00661,2025-02-05,Login Issue,1,Pending
TCKT000380,CUST00112,2024-08-20,Delayed Credit,15,Unresolved
TCKT000381,CUST00707,2025-04-12,Failed Transaction,8,Resolved
TCKT000382,CUST00778,2025-02-23,Delayed Credit,8,Unresolved
TCKT000383,CUST00551,2025-03-05,Card Not Working,11,Unresolved
TCKT000384,CUST00454,2025-03-03,Failed Transaction,5,Resolved
TCKT000385,CUST00605,2024-10-21,Login Issue,6,Unresolved
TCKT000386,CUST00761,2024-02-13,Delayed Credit,3,Unresolved
TCKT000387,CUST00303,2024-08-06,Delayed Credit,1,Resolved
TCKT000388,CUST00515,2025-04-08,Card Not Working,8,Resolved
TCKT000389,CUST00572,2024-06-14,Login Issue,9,Pending
TCKT000390,CUST00453,2024-07-31,Card Not Working,5,Unresolved
TCKT000391,CUST00730,2024-05-01,Login Issue,4,Resolved
TCKT000392,CUST00626,2024-12-07,Delayed Credit,7,Unresolved
TCKT000393,CUST00497,2025-05-27,Failed Transaction,6,Unresolved
TCKT000394,CUST00043,2024-03-29,Delayed Credit,6,Unresolved
TCKT000395,CUST00224,2025-06-02,Account Locked,13,Unresolved
TCKT000396,CUST00043,2025-03-15,Incorrect Charge,14,Unresolved
TCKT000397,CUST00652,2023-08-23,Delayed Credit,6,Pending
TCKT000398,CUST00522,2024-10-13,Failed Transaction,10,Unresolved
TCKT000399,CUST00702,2025-02-10,Account Locked,12,Unresolved
TCKT000400,CUST00266,2025-06-22,Card Not Working,7,Resolved
TCKT000401,CUST00065,2023-10-20,Delayed Credit,1,Resolved
TCKT000402,CUST00063,2023-10-10,Incorrect Charge,6,Unresolved
TCKT000403,CUST00032,2023-07-15,Card Not Working,1,Pending
TCKT000404,CUST00368,2024-03-01,Card Not Working,2,Unresolved
TCKT000405,CUST00136,2025-05-08,Account Locked,4,Resolved
