transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,channels,currency
TXN000134,CUST00818,2024-05-08,Credit,767852.93,Cards,Dollar
TXN000135,CUST00775,2024-04-27,Credit,428926.22,Web,Pounds
TXN000136,CUST00805,2024-01-31,Credit,35604.53,POS,Dollar
TXN000137,CUST00520,2025-04-12,Credit,812109.86,POS,Dollar
TXN000138,CUST00655,2022-10-14,Credit,665891.25,POS,Dollar
TXN000139,CUST00474,2024-04-14,Credit,760484.23,Cards,Dollar
TXN000140,CUST00213,2024-06-13,Credit,832785.84,Cards,Pounds
TXN000141,CUST00374,2023-07-15,Debit,327464.41,Web,Euros
TXN000142,CUST00374,2023-12-16,Debit,60811.06,Apps,Pounds
TXN000143,CUST00022,2022-09-20,Debit,854664.98,Web,Pounds
TXN000144,CUST00994,2023-03-07,Debit,111699.8,Cards,Dollar
TXN000145,CUST00582,2023-10-09,Debit,77147.65,Cards,Pounds
TXN000146,CUST00623,2025-01-31,Debit,744176.2,POS,Pounds
TXN000147,CUST00996,2025-05-10,Credit,592331.62,POS,Pounds
TXN000148,CUST00996,2022-08-16,Debit,228159.34,Apps,Naira
TXN000149,CUST00966,2022-11-08,Credit,609457.54,Apps,Yen
TXN000150,CUST00675,2023-04-27,Debit,263071.17,USSD,Yen
TXN000151,CUST00257,2025-01-24,Credit,629845.19,USSD,Euros
TXN000152,CUST00476,2024-08-14,Credit,174649.17,Web,Dollar
TXN000153,CUST00507,2024-03-02,Credit,927793.4,Cards,Pounds
TXN000154,CUST00712,2024-06-08,Debit,467979.8,USSD,Yen
TXN000155,CUST00540,2023-02-10,Credit,247851.49,Cards,Pounds
TXN000156,CUST00893,2023-04-08,Credit,530807.04,POS,Dollar
TXN000157,CUST00455,2022-08-06,Credit,378359.54,Cards,Yen
TXN000158,CUST00627,2025-02-17,Credit,157704.34,USSD,Euros
TXN000159,CUST00353,2024-04-29,Credit,870741.5,Apps,Euros
TXN000160,CUST00147,2022-07-22,Credit,133690.37,POS,Naira
TXN000161,CUST00667,2024-02-27,Credit,770287.87,Cards,Yen
TXN000162,CUST00898,2023-08-06,Credit,286467.76,Cards,Dollar
TXN000163,CUST00440,2024-02-02,Credit,258934.33,Cards,Pounds
TXN000164,CUST00385,2023-08-11,Credit,921917.67,Apps,Naira
TXN000165,CUST00365,2022-10-29,Debit,439258.32,Apps,Pounds
TXN000166,CUST00909,2024-08-19,Credit,559184.53,USSD,Dollar
TXN000167,CUST00464,2023-03-21,Debit,919226.23,Web,Naira
TXN000168,CUST00922,2024-05-08,Debit,450030.01,Web,Dollar
TXN000169,CUST00046,2025-02-05,Credit,392388.3,Cards,Yen
TXN000170,CUST00596,2025-06-12,Debit,48697.73,USSD,Naira
TXN000171,CUST00289,2023-05-20,Debit,198215.77,USSD,Yen
TXN000172,CUST00564,2023-03-09,Debit,217355.54,POS,Yen
TXN000173,CUST00197,2023-11-14,Credit,300811.39,USSD,Euros
TXN000174,CUST00692,2024-02-02,Debit,776904.74,POS,Dollar
TXN000175,CUST00329,2023-10-30,Debit,855453.03,Web,Yen
TXN000176,CUST00191,2024-12-02,Debit,954580.4,POS,Euros
TXN000177,CUST00776,2024-09-20,Debit,172188.22,Cards,Euros
TXN000178,CUST00646,2023-06-04,Debit,68599.89,POS,Pounds
TXN000179,CUST00535,2022-09-24,Debit,558897.13,Apps,Pounds
TXN000180,CUST00056,2023-01-19,Debit,382402.25,Cards,Yen
TXN000181,CUST00547,2022-11-28,Debit,173327.44,Cards,Dollar
TXN000182,CUST00566,2023-11-22,Debit,47919.65,Web,Pounds
TXN000183,CUST00162,2025-03-29,Debit,616090.1,USSD,Pounds
TXN000184,CUST00785,2025-05-14,Credit,228625.64,POS,Dollar
TXN000185,CUST00715,2025-04-10,Debit,340652.51,Apps,Dollar
TXN000186,CUST00495,2025-06-26,Debit,967253.74,USSD,Euros
TXN000187,CUST00053,2023-03-28,Debit,780841.94,Cards,Naira
TXN000188,CUST00298,2025-05-25,Debit,725804.74,Cards,Dollar
TXN000189,CUST00916,2023-07-15,Debit,61843.92,Web,Euros
TXN000190,CUST00055,2024-05-24,Debit,617357.18,USSD,Naira
TXN000191,CUST00019,2024-04-13,Debit,989092.77,POS,Euros
TXN000192,CUST00634,2024-11-03,Debit,717546.59,Cards,Dollar
TXN000193,CUST00015,2024-03-15,Credit,244377.29,Apps,Dollar
TXN000194,CUST00510,2023-04-24,Credit,74972.24,Cards,Pounds
TXN000195,CUST00937,2023-04-09,Debit,897498.61,POS,Yen
TXN000196,CUST00634,2025-01-11,Debit,883971.54,Web,Yen
TXN000197,CUST00302,2024-12-11,Credit,154108.92,Cards,Dollar
TXN000198,CUST00347,2024-09-01,Credit,401901.58,Web,Euros
TXN000199,CUST00145,2024-03-27,Credit,238891.81,Cards,Euros
TXN000200,CUST00308,2025-05-30,Debit,918114.94,Apps,Euros
TXN000201,CUST00851,2024-02-05,Credit,21008.18,Apps,Euros
TXN000202,CUST00874,2024-06-05,Credit,430299.96,USSD,Naira
TXN000203,CUST00184,2024-06-11,Debit,606668.77,Apps,Pounds
TXN000204,CUST00769,2023-05-30,Credit,112838.03,Cards,Naira
TXN000205,CUST00979,2023-10-21,Credit,749355.14,POS,Naira
TXN000206,CUST00598,2023-07-25,Debit,928269.14,Cards,Pounds
TXN000207,CUST00082,2023-11-25,Credit,383530.72,POS,Dollar
TXN000208,CUST00435,2024-12-09,Debit,723749.13,Apps,Dollar
TXN000209,CUST00145,2022-08-01,Debit,430857.23,Apps,Dollar
TXN000210,CUST00799,2022-09-05,Credit,525498.48,POS,Dollar
TXN000211,CUST00015,2023-04-09,Debit,717098.75,Web,Naira
TXN000212,CUST00838,2023-07-23,Debit,925598.2,POS,Pounds
TXN000213,CUST00478,2025-05-31,Debit,936206.3,Apps,Naira
TXN000214,CUST00904,2023-01-04,Debit,674954.71,POS,Euros
TXN000215,CUST00695,2023-10-10,Credit,605981.04,USSD,Euros
TXN000216,CUST00147,2023-10-08,Debit,748343.6,POS,Euros
TXN000217,CUST00492,2025-04-25,Debit,922771.56,USSD,Dollar
TXN000218,CUST00494,2023-06-24,Debit,415071.41,POS,Dollar
TXN000219,CUST00523,2022-11-30,Debit,155697.42,Cards,Dollar
TXN000220,CUST00824,2024-04-09,Credit,80320.26,USSD,Yen
TXN000221,CUST00777,2023-01-05,Credit,331703.79,Web,Yen
TXN000222,CUST00190,2022-08-30,Credit,458806.56,Web,Naira
TXN000223,CUST00077,2024-08-06,Debit,21441.1,Cards,Dollar
TXN000224,CUST00342,2025-06-18,Credit,870109.22,POS,Dollar
TXN000225,CUST00353,2024-06-29,Debit,267699.62,Web,Naira
TXN000226,CUST00401,2022-10-31,Debit,109709.0,Apps,Yen
TXN000227,CUST00541,2023-07-31,Credit,281019.03,Cards,Yen
TXN000228,CUST00415,2023-12-01,Debit,829348.73,USSD,Dollar
TXN000229,CUST00223,2024-10-02,Credit,647990.23,Web,Yen
TXN000230,CUST00644,2022-07-31,Debit,171296.44,POS,Naira
TXN000231,CUST00547,2023-12-09,Credit,892352.15,USSD,Yen
TXN000232,CUST00709,2024-07-10,Debit,306312.65,Web,Yen
TXN000233,CUST00983,2024-10-04,Debit,423632.79,Web,Naira
TXN000234,CUST00349,2024-10-19,Credit,953134.34,POS,Euros
TXN000235,CUST00632,2024-07-27,Credit,322528.62,Cards,Dollar
TXN000236,CUST00794,2022-08-05,Debit,481325.11,Cards,Pounds
TXN000237,CUST00819,2025-03-24,Credit,380322.15,Cards,Pounds
TXN000238,CUST00860,2024-12-28,Credit,357794.28,Cards,Pounds
TXN000239,CUST00398,2023-12-26,Credit,50857.07,Cards,Dollar
TXN000240,CUST00743,2024-01-31,Credit,446842.78,Web,Naira
TXN000241,CUST00438,2023-03-16,Credit,639161.34,Web,Dollar
TXN000242,CUST00080,2025-06-07,Debit,188636.17,Web,Yen
TXN000243,CUST00752,2023-01-08,Debit,81992.01,Apps,Naira
TXN000244,CUST00227,2024-09-30,Debit,640455.25,Cards,Naira
TXN000245,CUST00927,2023-01-13,Debit,832130.47,Cards,Naira
TXN000246,CUST00349,2024-04-27,Credit,641167.41,Web,Dollar
TXN000247,CUST00726,2024-09-12,Debit,208559.67,Apps,Pounds
TXN000248,CUST00492,2024-10-31,Credit,828089.28,POS,Yen
TXN000249,CUST00263,2023-08-20,Credit,734904.92,USSD,Pounds
TXN000250,CUST00404,2023-01-23,Credit,77675.57,Apps,Euros
TXN000251,CUST00751,2024-01-04,Credit,174111.68,Apps,Dollar
TXN000252,CUST00450,2023-08-31,Credit,745895.42,Apps,Euros
TXN000253,CUST00597,2024-12-20,Debit,708776.71,Apps,Pounds
TXN000254,CUST00743,2024-10-05,Credit,115216.07,USSD,Dollar
TXN000255,CUST00875,2025-03-28,Credit,966382.98,Cards,Pounds
TXN000256,CUST00048,2024-04-11,Credit,756061.82,Cards,Yen
TXN000257,CUST00810,2023-07-22,Debit,567126.05,Apps,Yen
TXN000258,CUST00090,2025-07-04,Credit,278238.81,POS,Pounds
TXN000259,CUST00364,2023-05-08,Debit,506354.86,USSD,Yen
TXN000260,CUST00987,2024-09-20,Debit,429417.03,Apps,Naira
TXN000261,CUST00323,2025-02-16,Debit,196259.9,USSD,Yen
TXN000262,CUST00870,2023-05-29,Debit,376605.74,POS,Dollar
TXN000263,CUST00481,2024-09-04,Debit,843951.94,POS,Euros
TXN000264,CUST00142,2022-08-30,Debit,108568.52,USSD,Euros
TXN000265,CUST00161,2022-11-18,Credit,675260.87,USSD,Naira
TXN000266,CUST00474,2024-12-31,Debit,355972.21,POS,Euros
TXN000267,CUST00308,2023-06-08,Credit,989160.59,USSD,Pounds
TXN000268,CUST00311,2023-03-01,Credit,327816.02,Cards,Naira
TXN000269,CUST00805,2023-01-08,Debit,252886.79,Cards,Pounds
TXN000270,CUST00396,2023-03-04,Debit,618937.7,POS,Naira
TXN000271,CUST00792,2024-01-07,Debit,559375.11,USSD,Yen
TXN000272,CUST00447,2024-10-20,Credit,935206.79,USSD,Dollar
TXN000273,CUST00579,2023-01-05,Credit,588302.37,Web,Pounds
TXN000274,CUST00872,2025-03-11,Debit,895137.62,Apps,Euros
TXN000275,CUST00572,2022-12-14,Credit,974375.65,Apps,Yen
TXN000276,CUST00402,2025-06-20,Credit,830895.21,USSD,Naira
TXN000277,CUST00399,2025-04-11,Credit,534234.16,Cards,Naira
TXN000278,CUST00216,2025-03-01,Credit,600778.38,POS,Euros
TXN000279,CUST00921,2023-10-08,Debit,51496.56,Web,Pounds
TXN000280,CUST00123,2023-09-15,Credit,128965.84,Web,Euros
TXN000281,CUST00150,2025-05-10,Credit,584855.59,Apps,Yen
TXN000282,CUST00599,2023-05-22,Credit,536543.82,USSD,Pounds
TXN000283,CUST00913,2023-09-22,Credit,449130.08,USSD,Yen
TXN000284,CUST00210,2024-08-20,Credit,574413.63,USSD,Euros
TXN000285,CUST00608,2024-09-16,Debit,777102.49,USSD,Dollar
TXN000286,CUST00733,2023-07-25,Credit,801417.83,Web,Euros
TXN000287,CUST00968,2024-06-06,Credit,990481.79,USSD,Pounds
TXN000288,CUST00964,2023-09-24,Debit,242510.28,POS,Dollar
TXN000289,CUST00153,2024-07-16,Credit,718604.48,Web,Dollar
TXN000290,CUST00452,2022-10-05,Credit,974751.97,Web,Euros
TXN000291,CUST00578,2025-03-20,Credit,485982.15,Cards,Pounds
TXN000292,CUST00401,2023-09-22,Debit,213821.32,Web,Naira
TXN000293,CUST00920,2024-09-05,Debit,777267.18,POS,Euros
TXN000294,CUST00653,2022-07-25,Credit,34193.64,USSD,Dollar
TXN000295,CUST00689,2023-10-14,Debit,537798.84,Cards,Naira
TXN000296,CUST00162,2025-04-22,Credit,450531.55,USSD,Dollar
TXN000297,CUST00151,2025-04-03,Credit,822592.66,Apps,Pounds
TXN000298,CUST00309,2024-09-23,Debit,375768.89,USSD,Yen
TXN000299,CUST00668,2024-03-25,Debit,337785.18,Apps,Pounds
TXN000300,CUST00053,2022-11-06,Debit,975549.95,Web,Pounds
TXN000301,CUST00921,2024-10-13,Debit,402007.23,POS,Pounds
TXN000302,CUST00783,2023-04-18,Debit,921089.86,Cards,Dollar
TXN000303,CUST00571,2025-04-29,Debit,103260.55,POS,Euros
TXN000304,CUST00343,2024-03-23,Credit,577996.86,POS,Euros
TXN000305,CUST00122,2024-05-21,Debit,48834.55,POS,Euros
TXN000306,CUST00319,2024-05-09,Debit,892402.67,Cards,Dollar
TXN000307,CUST00288,2024-02-16,Debit,147067.4,Web,Yen
TXN000308,CUST00649,2024-08-18,Credit,588513.75,USSD,Pounds
TXN000309,CUST00131,2024-01-03,Debit,283261.51,POS,Yen
TXN000310,CUST00107,2024-01-04,Debit,24901.1,USSD,Yen
TXN000311,CUST00123,2022-09-19,Credit,28885.46,POS,Dollar
TXN000312,CUST00928,2022-11-03,Credit,41707.3,USSD,Euros
TXN000313,CUST00059,2023-03-19,Debit,90999.26,Cards,Yen
TXN000314,CUST00856,2025-04-05,Credit,156151.88,Cards,Pounds
TXN000315,CUST00643,2023-01-29,Credit,478996.31,Cards,Dollar
TXN000316,CUST00469,2025-06-22,Credit,409336.67,POS,Euros
TXN000317,CUST00363,2023-10-28,Credit,308118.47,Apps,Pounds
TXN000318,CUST00691,2024-04-15,Credit,243446.31,Web,Naira
TXN000319,CUST00235,2024-10-12,Debit,43074.56,Web,Yen
TXN000320,CUST00387,2024-07-14,Credit,500887.95,POS,Naira
TXN000321,CUST00193,2022-09-27,Debit,34839.96,Cards,Naira
TXN000322,CUST00436,2025-04-04,Credit,566443.41,USSD,Dollar
TXN000323,CUST00227,2024-10-08,Credit,26585.85,Apps,Euros
TXN000324,CUST00605,2023-06-13,Debit,414326.42,USSD,Yen
TXN000325,CUST00262,2024-03-24,Credit,126655.64,Apps,Pounds
TXN000326,CUST00913,2023-06-03,Credit,935557.23,Web,Dollar
TXN000327,CUST00498,2022-12-20,Credit,198018.47,USSD,Euros
TXN000328,CUST00259,2023-07-20,Credit,54239.26,USSD,Pounds
TXN000329,CUST00450,2024-09-15,Debit,940317.62,Cards,Yen
TXN000330,CUST00186,2022-08-01,Credit,954437.66,Web,Dollar
TXN000331,CUST00180,2023-05-18,Credit,898687.67,Apps,Dollar
TXN000332,CUST00901,2024-10-24,Credit,158167.55,USSD,Yen
TXN000333,CUST00668,2022-09-01,Debit,23352.99,Cards,Yen
TXN000334,CUST00665,2023-01-22,Credit,210983.23,USSD,Naira
TXN000335,CUST00063,2023-04-21,Debit,139148.3,USSD,Naira
TXN000336,CUST00478,2025-04-09,Credit,775838.63,Cards,Yen
TXN000337,CUST00266,2024-05-22,Debit,556981.01,Apps,Dollar
TXN000338,CUST00086,2025-03-17,Debit,717671.51,USSD,Dollar
TXN000339,CUST00556,2024-01-17,Debit,751908.23,USSD,Euros
TXN000340,CUST00134,2025-02-14,Debit,139508.04,Cards,Naira
TXN000341,CUST00402,2022-08-17,Credit,973345.02,Cards,Naira
TXN000342,CUST00009,2025-06-25,Credit,585772.91,Web,Yen
TXN000343,CUST00095,2025-04-10,Debit,347989.23,Web,Dollar
TXN000344,CUST00800,2023-11-04,Credit,825743.21,Cards,Yen
TXN000345,CUST00378,2025-01-22,Debit,81959.1,Apps,Naira
TXN000346,CUST00323,2024-02-02,Credit,249624.85,USSD,Naira
TXN000347,CUST00087,2022-11-07,Debit,380185.64,Web,Euros
TXN000348,CUST00134,2024-09-07,Credit,890334.23,POS,Yen
TXN000349,CUST00230,2024-02-02,Credit,869653.58,Cards,Euros
TXN000350,CUST00508,2023-03-16,Debit,255902.93,USSD,Naira
TXN000351,CUST00155,2024-11-06,Debit,922313.05,Cards,Dollar
TXN000352,CUST00944,2024-10-12,Credit,675869.38,USSD,Dollar
TXN000353,CUST00885,2022-12-27,Debit,996109.87,USSD,Pounds
TXN000354,CUST00468,2022-07-21,Debit,284175.05,Web,Pounds
TXN000355,CUST00763,2023-05-05,Credit,593097.54,USSD,Yen
TXN000356,CUST00615,2024-11-30,Debit,565386.9,Apps,Pounds
TXN000357,CUST00204,2025-01-23,Debit,207609.3,USSD,Yen
TXN000358,CUST00430,2024-08-03,Credit,105682.63,POS,Naira
TXN000359,CUST00675,2022-07-24,Credit,993922.33,Cards,Dollar
TXN000360,CUST00817,2023-11-07,Debit,457144.17,USSD,Naira
TXN000361,CUST00467,2022-07-24,Debit,294513.13,Web,Euros
TXN000362,CUST00873,2025-03-12,Credit,631274.05,Web,Naira
TXN000363,CUST00330,2024-11-14,Credit,847612.2,POS,Naira
TXN000364,CUST00489,2022-08-20,Credit,786670.09,USSD,Pounds
TXN000365,CUST00905,2023-05-29,Credit,960705.47,Web,Yen
TXN000366,CUST00183,2023-07-19,Credit,440036.55,Web,Pounds
TXN000367,CUST00216,2023-05-01,Debit,970021.26,USSD,Naira
TXN000368,CUST00483,2022-12-25,Debit,211089.23,Web,Yen
TXN000369,CUST00418,2024-07-14,Debit,828276.83,Cards,Yen
TXN000370,CUST00450,2023-08-24,Debit,17168.2,Web,Dollar
TXN000371,CUST00970,2024-10-17,Credit,388394.6,Web,Yen
TXN000372,CUST00694,2024-02-17,Debit,703898.27,Web,Yen
TXN000373,CUST00038,2024-12-24,Credit,406062.43,Cards,Pounds
TXN000374,CUST00950,2023-11-07,Credit,684542.65,USSD,Naira
TXN000375,CUST00486,2024-09-25,Debit,983365.57,Apps,Naira
TXN000376,CUST00330,2022-10-13,Debit,831644.89,Web,Yen
TXN000377,CUST00820,2022-07-07,Debit,766676.26,Apps,Naira
TXN000378,CUST00012,2025-02-04,Debit,979598.74,Web,Yen
TXN000379,CUST00971,2023-04-19,Credit,619161.58,POS,Euros
TXN000380,CUST00724,2022-08-19,Credit,112068.33,USSD,Pounds
TXN000381,CUST00930,2024-06-20,Debit,533762.65,Apps,Pounds
TXN000382,CUST00914,2024-12-07,Debit,566686.55,Apps,Yen
TXN000383,CUST00586,2023-11-17,Credit,475931.13,Apps,Pounds
TXN000384,CUST00088,2025-06-01,Debit,345819.61,POS,Dollar
TXN000385,CUST00283,2023-11-21,Credit,892358.42,Web,Euros
TXN000386,CUST00332,2024-02-12,Credit,642969.49,Apps,Naira
